,Unnamed: 0,country,ccode,verified,year,month,day,source,mcgowan,csp,bs,banks,moreno,finer,janowitz,kennedy,ferguson,okane,thompson,luttwak,lunde,world_hand,combined,no_evidence,rebellion,no_overt,legal,no_exec,protest,autogolpe,assasination,invasion,unclear,id
0,474,Bolivia,145,,1950,3,18,"New York Times. Mar 18, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,0
1,578,Paraguay,150,,1950,7,31,"New York Times. Aug 1, 1950",,,,,,,,,,,,,,1.0,1,0,0,0,0,0,0,0,0,0,0,1
2,577,Paraguay,150,,1950,-9,-9,"New York Times. Aug 1, 1950",,,,,,,,2.0,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,2
3,229,Nicaragua,93,,1950,5,14,"New York Times. May 14, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,3
4,478,Bolivia,145,,1950,7,23,"New York Times. July 23, 1950",,,,,,,,,,,,,,1.0,1,0,0,0,0,0,0,0,0,0,0,4
5,477,Bolivia,145,1.0,1950,7,22,"New York Times. July 23, 1950",,,1.0,,,,,,,,1.0,,,1.0,0,0,0,0,0,0,0,0,0,0,0,5
6,476,Bolivia,145,,1950,5,21,"New York Times. May 21, 1950",,,,,,,,,,,,,,1.0,0,0,1,0,0,0,0,0,0,0,0,6
7,475,Bolivia,145,,1950,3,27,"New York Times. Mar 27, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,7
8,2109,Indonesia,850,,1950,12,3,none,,,,,,,,,,,,1.0,,1.0,0,1,0,0,0,0,0,0,0,0,0,8
9,473,Bolivia,145,,1950,1,15,"New York Times. Jan 15, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,9
10,472,Bolivia,145,,1950,-9,-9,"New York Times. July 23, 1950",,,1.0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,10
11,425,Peru,135,,1950,6,15,"New York Times. Jun 15, 1950",,,,,1.0,,,,,,1.0,,,,0,0,1,0,0,0,0,0,0,0,0,11
12,424,Peru,135,,1950,6,14,"New York Times. Jun 15, 1950",,,,,,,,,,,1.0,,,,1,0,0,0,0,0,0,0,0,0,0,12
13,1963,Nepal,790,,1950,9,8,none,,,,,,,,,,,,,,2.0,0,1,0,0,0,0,0,0,0,0,0,13
14,378,Ecuador,130,,1950,7,15,"New York Times. Jul 16, 1950",,,,,,,,,,,1.0,,,,0,0,1,0,0,0,0,0,0,0,0,14
15,377,Ecuador,130,,1950,6,30,"New York Times. Jun 30, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,15
16,257,Costa Rica,94,,1950,8,13,"New York Times. Aug 13, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,16
17,311,Venezuela,101,,1950,-9,-9,"New York Times. Nov 14, 1950",,,,,,,,,1.0,,,,,,1,0,0,0,0,0,0,0,0,0,0,17
18,22,Haiti,41,,1950,10,3,http://countrystudies.us/haiti/16.htm,,,,,,,,,,,,2.0,,,0,0,0,0,1,0,0,0,0,0,0,18
19,21,Haiti,41,,1950,5,11,"New York Times. May 11, 1950. p. 12",,,,,,,,,,,,,,2.0,1,0,0,0,0,0,0,0,0,0,0,19
20,312,Venezuela,101,,1950,11,11,"New York Times. Nov 14, 1950",,,,,,,,,1.0,,,1.0,,1.0,0,0,0,0,0,0,0,0,1,0,0,20
21,19,Haiti,41,,1950,5,-9,"New York Times. May 11, 1950. p. 12",,,,,,,2.0,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,21
22,2108,Indonesia,850,,1950,4,26,New York Times. various,,,,,,,,,,,,1.0,,1.0,0,0,1,0,0,0,0,0,0,0,0,22
23,2107,Indonesia,850,,1950,-9,-9,unclear,,,1.0,,,,,,1.0,,,,,,0,0,0,0,0,0,0,0,0,0,1,23
24,1621,Iraq,645,,1950,2,13,"New York Times. Feb 13-14, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,24
25,746,Bulgaria,355,,1950,2,27,"New York Times. Feb 28, 1950",,,,,,,,,,,,,,1.0,0,0,0,0,0,0,0,0,0,1,0,25
26,2106,Indonesia,850,,1950,-9,-9,unclear,,,1.0,,,,,,1.0,,,,,,0,0,0,0,0,0,0,0,0,0,1,26
27,150,Honduras,91,,1950,9,15,"New York Times. Sep 15, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,27
28,20,Haiti,41,2.0,1950,5,10,"New York Times. May 11, 1950. p. 12",,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,,2.0,0,0,0,0,0,0,0,0,0,0,0,28
29,1714,Syria,652,,1950,10,18,"New York Times. Oct 18, 1950",,,,,,,,,,,,,,1.0,0,0,0,1,0,0,0,0,0,0,0,29
30,18,Haiti,41,,1950,-9,-9,"New York Times. May 11, 1950. p. 12",,,2.0,2.0,,,,,2.0,2.0,,,,,1,0,0,0,0,0,0,0,0,0,0,30
31,313,Venezuela,101,,1951,10,13,"New York Times. Oct 13, 1951",,,,,,,,,,,,,,1.0,0,0,1,0,0,0,0,0,0,0,0,31
32,314,Venezuela,101,,1951,10,23,"New York Times. Oct 23, 1951",,,,,,,,,,,,,,1.0,0,0,1,0,0,0,0,0,0,0,0,32
33,263,Panama,95,2.0,1951,5,9,"New York Times. May 11, 1951",,,2.0,,,,2.0,2.0,2.0,,2.0,2.0,,2.0,0,0,0,0,0,0,0,0,0,0,0,33
34,262,Panama,95,,1951,5,7,"New York Times. May 8, 1951",,,,,1.0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,34
35,261,Panama,95,,1951,5,-9,"New York Times. May 11, 1951",,,,,,,2.0,2.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,35
36,260,Panama,95,,1951,-9,-9,"New York Times. May 11, 1951",,,2.0,,,,,,2.0,,,,,,1,0,0,0,0,0,0,0,0,0,0,36
37,613,Argentina,160,1.0,1951,9,28,"New York Times. Sept 29, 1951",,,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,37
38,612,Argentina,160,,1951,9,18,none,,,,,,,,,,,1.0,,,,0,1,0,0,0,0,0,0,0,0,0,38
39,611,Argentina,160,,1951,-9,-9,"New York Times. Sept 29, 1951",,,1.0,,,,,,1.0,,,,,,1,0,0,0,0,0,0,0,0,0,0,39
40,614,Argentina,160,,1951,9,29,"New York Times. Sept 29, 1951",,,,,,,,,,,,,,1.0,1,0,0,0,0,0,0,0,0,0,0,40
41,1970,Thailand,800,,1951,-9,-9,New York Times. various,,,1.0,2.0,,,,,1.0,2.0,,,,,1,0,0,0,0,0,0,0,0,0,0,41
42,1719,Syria,652,2.0,1951,11,29,"New York Times. Nov 29, 1951",,,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,,,0,0,0,0,0,0,0,0,0,0,0,42
43,1977,Thailand,800,,1951,11,30,"New York Times. Nov 30, 1951",,,,,,,,,,,,,,2.0,1,0,0,0,0,0,0,0,0,0,0,43
44,1973,Thailand,800,1.0,1951,6,29,"New York Times. Jun 30, 1951",,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,44
45,426,Peru,135,,1951,6,15,None,,,,,,,,,,,,,,1.0,0,1,0,0,0,0,0,0,0,0,0,45
