rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
1,11 Com,b,Radial Velocity,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,0,4.74,,0,0,V (Johnson),4742,100,-100,0,0,2.7,0.3,-0.3,0,0,19,2,-2,0,0,2014-05-14
2,11 UMi,b,Radial Velocity,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,,10.5,2.47,-2.47,0,Msini,,,,,,,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,6.22,-6.95,0,5.016,0.009,0,0,V (Johnson),4340,70,-70,0,0,1.8,0.25,-0.25,0,0,24.08,1.84,-1.84,0,0,2014-05-14
3,14 And,b,Radial Velocity,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,0,,,,,,4813,20,-20,0,0,2.2,0.1,-0.2,0,0,11,1,-1,0,0,2014-05-14
4,14 Her,b,Radial Velocity,1,1773.4,2.5,-2.5,0,2.77,0.05,-0.05,0,0.369,0.005,-0.005,0,,,,,4.64,0.19,-0.19,0,Msini,,,,,,,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0.19,-0.2,0,6.61,0.02,0,0,V (Johnson),5311,87,-87,0,0,0.9,0.05,-0.05,0,0,,,,,0,2014-05-14
5,16 Cyg B,b,Radial Velocity,1,798.5,1,-1,0,1.681,0.097,-0.097,0,0.681,0.017,-0.017,0,,,,,1.68,0.15,-0.15,0,Msini,,,,,,,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0,6.25,,0,0,V (Johnson),5674,,,0,0,0.99,,,0,0,,,,,0,2015-09-10
6,18 Del,b,Radial Velocity,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,3.56,-3.94,0,,,,,,4979,18,-18,0,0,2.3,,,0,0,8.5,,,0,0,2014-05-14
7,1RXS J160929.1-210524,b,Imaging,1,,,,,330,,,0,,,,,,,,,8,1,-1,0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,14,-14,0,,,,,,4060,300,-200,0,0,0.85,0.2,-0.1,0,0,,,,,0,2015-04-01
8,24 Sex,b,Radial Velocity,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.01,0,0,V (Johnson),5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0,2014-05-14
9,24 Sex,c,Radial Velocity,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.01,0,0,V (Johnson),5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0,2014-05-14
10,2MASS J01225093-2439505,b,Imaging,1,,,,,52,6,-6,0,,,,,,,,,24.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,4,-4,0,14.24,0.07,0,0,V (Johnson),3530,50,-50,0,0,0.4,0.05,-0.05,0,0,,,,,,2014-05-14
11,2MASS J02192210-3925225,b,Imaging,1,,,,,156,10,-10,0,,,,,,,,,13.9,1.1,-1.1,0,Mass,1.44,0.03,-0.03,0,,,,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,2.6,-2.6,0,,,,,,3064,76,-76,0,0,0.11,0.01,-0.01,0,0,0.28,0.01,-0.01,0,0,2015-05-14
12,2MASS J04414489+2301513,b,Imaging,1,,,,,15,,,0,,,,,,,,,7.5,2.5,-2.5,0,Mass,,,,,,,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,,,0,,,,,,,,,,,0.02,,,0,0,,,,,,2014-05-14
13,2MASS J12073346-3932539,b,Imaging,1,,,,,46,5,-5,0,,,,,,,,,4,1,-1,0,Mass,,,,,,,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.4,1.1,-1.1,0,20.15,0.19,0,0,V (Johnson),,,,,,0.02,,,0,0,,,,,,2014-05-14
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416,2,-2,0,0.92,0.02,-0.02,0,,,,,,,,,1.9,0.1,-0.1,0,Mass,,,,,,,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,,,,,12.264,,0,0,Kepler-band,,,,,0,0.48,0.03,-0.03,0,0,,,,,0,2015-06-04
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,1934.5,-584,0,,,,,0.26,0.06,-0.06,0,46.2,2.5,-8.7,0,20.95,83.79,-20.95,0,Mass,0.92,0.39,-0.36,0,,,,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,10,-10,0,,,,,,2300,80,-80,0,0,0.08,0.06,-0.06,0,0,0.12,0.05,-0.04,0,0,2014-05-14
16,30 Ari B,b,Radial Velocity,1,335.1,2.5,-2.5,0,0.995,0.012,-0.012,0,0.289,0.092,-0.092,0,,,,,9.88,0.94,-0.94,0,Msini,,,,,,,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,0,,,,,,6300,60,-60,0,0,1.16,0.04,-0.04,0,0,1.13,0.03,-0.03,0,0,2014-05-14
17,4 UMa,b,Radial Velocity,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,,,,,7.1,1.6,-1.6,0,Msini,,,,,,,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.03,-4.5,0,4.61,,0,0,V (Johnson),4415,70,-70,0,0,1.23,0.15,-0.15,0,0,18.11,1.47,-1.47,0,0,2014-05-14
18,42 Dra,b,Radial Velocity,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,,,,,3.88,0.85,-0.85,0,Msini,,,,,,,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,0,4.82,,0,0,V (Johnson),4200,70,-70,0,0,0.98,0.05,-0.05,0,0,22.03,1,-1,0,0,2014-05-14
19,47 UMa,b,Radial Velocity,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,,,,,2.53,0.07,-0.06,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,,0,0,V (Johnson),5892,70,-70,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14
20,47 UMa,c,Radial Velocity,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,,,,,0.54,0.066,-0.073,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,,0,0,V (Johnson),5892,70,-70,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14
21,47 UMa,d,Radial Velocity,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,,,,,1.64,0.29,-0.48,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,,0,0,V (Johnson),5892,70,-70,0,0,1.03,0.05,-0.05,0,0,1.23,,,0,0,2014-05-14
22,51 Eri,b,Imaging,1,,,,0,13.2,0.2,-0.2,0,,,,,,,,,2,,,0,Mass,,,,,,,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,0,5.23,,0,0,V (Johnson),,,,,0,1.75,0.05,-0.05,0,0,,,,,0,2015-08-14
23,51 Peg,b,Radial Velocity,1,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,,,,,0.472,0.039,-0.039,0,Msini,,,,,,,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,0.18,-0.18,0,5.5,,0,0,V (Johnson),5793,70,-70,0,0,1.12,0.06,-0.06,0,0,1.2,,,0,0,2014-05-14
24,55 Cnc,b,Radial Velocity,5,14.65152,0.00015,-0.00015,0,0.115227,0.000001,-0.000001,0,0.0034,0.0032,-0.0032,0,90,,,0,0.8306,0.0033,-0.0033,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.96,0.01,0,0,V (Johnson),5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29
25,55 Cnc,c,Radial Velocity,5,44.4175,0.0073,-0.0073,0,0.241376,0.000026,-0.000026,0,0.02,0.031,-0.031,0,90,,,0,0.1714,0.0055,-0.0055,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.96,0.01,0,0,V (Johnson),5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29
26,55 Cnc,d,Radial Velocity,5,4825,39,-39,0,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,90,,,0,3.878,0.068,-0.068,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.96,0.01,0,0,V (Johnson),5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29
27,55 Cnc,e,Radial Velocity,5,,,,,0.01544,0.00009,-0.00009,0,,,,,83,2,-1,0,0.02542,0.00098,-0.00098,0,Mass,0.171,0.007,-0.007,0,6.3,0.8,-0.7,0,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.96,0.01,0,0,V (Johnson),5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2016-01-21
28,55 Cnc,f,Radial Velocity,5,262,0.51,-0.51,0,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,90,,,0,0.141,0.012,-0.012,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.96,0.01,0,0,V (Johnson),5196,24,-24,0,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0,2014-10-29
29,6 Lyn,b,Radial Velocity,1,874.774,16.27,-8.47,0,2.18,0.05,-0.06,0,0.125,,,1,,,,,2.21,0.11,-0.16,0,Msini,,,,,,,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,2.36,-2.58,0,,,,,,4978,18,-18,0,0,1.7,0.1,-0.2,0,0,5.2,0.4,-0.3,0,0,2015-09-03
30,61 Vir,b,Radial Velocity,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,,,,,0.016,0.002,-0.002,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,,0,0,V (Johnson),5577,33,-33,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14
31,61 Vir,c,Radial Velocity,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,,,,,0.057,0.003,-0.003,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,,0,0,V (Johnson),5577,33,-33,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14
32,61 Vir,d,Radial Velocity,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,,,,,0.072,0.008,-0.008,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,,0,0,V (Johnson),5577,33,-33,0,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0,2014-05-14
33,7 CMa,b,Radial Velocity,1,796,7.4,-7.4,0,1.93,0.01,-0.01,0,0.22,0.07,-0.07,0,,,,,2.46,0.14,-0.14,0,Msini,,,,,,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,0.27,-0.28,0,3.92,,0,0,V (Johnson),4792,100,-100,0,0,1.52,0.3,-0.3,0,0,2.3,0.1,-0.1,0,0,2015-10-22
34,70 Vir,b,Radial Velocity,1,116.6926,0.0014,-0.0014,0,0.481,0.003,-0.003,0,0.399,0.002,-0.002,0,,,,,7.4,0.02,-0.02,0,Msini,,,,,,,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0.24,-0.24,0,4.98,,0,0,V (Johnson),5439,44,-44,0,0,1.09,0.02,-0.02,0,0,1.94,0.05,-0.05,0,0,2015-04-24
35,75 Cet,b,Radial Velocity,1,691.9,3.6,-3.6,0,2.1,,,0,0.117,0.048,-0.048,0,,,,,3,,,0,Msini,,,,,,,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,6.87,-8.27,0,5.35,,0,0,V (Johnson),4846,18,-18,0,0,2.49,0.02,-0.27,0,0,10.5,1,-1,0,0,2015-09-03
36,8 UMi,b,Radial Velocity,1,93.4,4.5,-4.5,0,0.49,0.03,-0.03,0,0.06,0.18,-0.18,0,,,,,1.5,0.2,-0.2,0,Msini,,,,,,,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.1,11,-11,0,6.83,,0,0,V (Johnson),4847.4,7.5,-7.5,0,0,1.8,0.1,-0.1,0,0,9.9,0.4,-0.4,0,0,2015-10-15
37,81 Cet,b,Radial Velocity,1,952.7,8.8,-8.8,0,2.5,,,0,0.206,0.029,-0.029,0,,,,,5.3,,,0,Msini,,,,,,,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,8.37,-10.11,0,5.65,,0,0,V (Johnson),4785,25,-25,0,0,2.4,0.1,-0.4,0,0,11,2,-1,0,0,2014-05-14
38,91 Aqr,b,Radial Velocity,1,181.4,0.1,-0.1,0,0.7,,,0,0.027,0.026,-0.026,0,,,,,3.2,,,0,Msini,,,,,,,,,0,0,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,1.77,-1.92,0,4.25,,0,0,V (Johnson),4665,18,-18,0,0,1.4,0.1,-0.1,0,0,11,0.1,-0.1,0,0,2014-05-14
39,AB Pic,b,Imaging,1,,,,,260,,,0,,,,,,,,,13.5,0.5,-0.5,0,Mass,,,,,,,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,1.64,-1.76,0,9.128,0.019,0,0,V (Johnson),,,,,,,,,,,,,,,,2014-05-14
40,BD+14 4559,b,Radial Velocity,1,268.94,0.99,-0.99,0,0.777,,,0,0.29,0.03,-0.03,0,,,,,1.47,,,0,Msini,,,,,,,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,50.03,3.73,-4.38,0,9.63,0.012,0,0,V (Johnson),5008,20,-20,0,0,0.86,0.15,-0.15,0,0,0.95,0.2,-0.2,0,0,2014-05-14
41,BD+15 2375,b,Radial Velocity,1,153.22,0.44,-0.44,0,0.576,0.027,-0.027,0,0.001,0.25,-0.001,0,,,,,1.061,0.27,-0.27,0,Msini,,,,,,,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,165,-165,0,10.31,0.023,0,0,V (Johnson),4649,30,-30,0,0,1.08,0.14,-0.14,0,0,8.95,1.45,-1.45,0,0,2016-02-04
42,BD+15 2940,b,Radial Velocity,1,137.48,0.34,-0.34,0,0.539,,,0,0.26,0.1,-0.1,0,,,,,1.11,,,0,Msini,,,,,,,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,175.44,,,-1,9.046,0.021,0,0,V (Johnson),4796,117,-117,0,0,1.1,0.2,-0.2,0,0,14.7,2.8,-2.8,0,0,2014-05-14
43,BD+20 1790,b,Radial Velocity,1,7.78287,0.00077,-0.00076,0,0.066,0.005,-0.006,0,0.22,0.07,-0.09,0,,,,,6.37,1.35,-1.35,0,Msini,,,,,,,,,0,0,0,0,07h23m43.59s,110.931612,+20d24m58.8s,20.416334,25.4,4,-4,0,,,,,,4410,,,0,0,0.63,0.09,-0.09,0,0,0.71,0.03,-0.03,0,0,2015-03-26
44,BD+20 2457,b,Radial Velocity,2,379.63,2.01,-2.01,0,1.45,,,0,0.15,0.03,-0.03,0,,,,,21.42,,,0,Msini,,,,,,,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,,,,,9.75,,0,0,V (Johnson),4137,10,-10,0,0,2.8,1.5,-1.5,0,0,49,26,-26,0,0,2014-05-14
45,BD+20 2457,c,Radial Velocity,2,621.99,10.2,-10.2,0,2.01,,,0,0.18,0.06,-0.06,0,,,,,12.47,,,0,Msini,,,,,,,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,,,,,9.75,,0,0,V (Johnson),4137,10,-10,0,0,2.8,1.5,-1.5,0,0,49,26,-26,0,0,2014-05-14
46,BD+20 274,b,Radial Velocity,1,578.2,5.4,-5.4,0,1.3,,,0,0.21,0.06,-0.06,0,,,,,4.2,,,0,Msini,,,,,,,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,,,,,9.36,,0,0,V (Johnson),4296,10,-10,0,0,0.8,0.2,-0.2,0,0,17.3,0.9,-0.9,0,0,2015-09-18
47,BD+48 738,b,Radial Velocity,1,392.6,5.5,-5.5,0,1,,,0,0.2,0.1,-0.1,0,,,,,0.91,,,0,Msini,,,,,,,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,,,,,9.14,,0,0,V (Johnson),4414,15,-15,0,0,0.74,0.39,-0.39,0,0,11,1,-1,0,0,2015-08-13
48,BD+49 828,b,Radial Velocity,1,2590,300,-180,0,4.2,0.32,-0.2,0,0.35,0.24,-0.1,0,,,,,1.6,0.4,-0.2,0,Msini,,,,,,,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,,,,,9.38,0.02,0,0,V (Johnson),4943,30,-30,0,0,1.52,0.22,-0.22,0,0,7.6,1.3,-1.3,0,0,2015-02-05
49,BD-06 1339,b,Radial Velocity,2,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,0,,,0,,,,,0.027,0.004,-0.004,0,Msini,,,,,,,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,0.65,-0.69,0,9.7,0.009,0,0,V (Johnson),4324,100,-100,0,0,0.7,,,0,0,,,,,,2014-05-14
50,BD-06 1339,c,Radial Velocity,2,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,0.31,0.11,-0.11,0,,,,,0.17,0.03,-0.03,0,Msini,,,,,,,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,0.65,-0.69,0,9.7,0.009,0,0,V (Johnson),4324,100,-100,0,0,0.7,,,0,0,,,,,,2014-05-14
51,BD-08 2823,b,Radial Velocity,2,5.6,0.02,-0.02,0,0.056,0.002,-0.002,0,0.15,0.15,-0.15,0,,,,,0.045,0.007,-0.007,0,Msini,,,,,,,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,2.67,-3.06,0,9.88,0.043,0,0,V (Johnson),4746,63,-63,0,0,0.74,0.07,-0.07,0,0,,,,,,2014-05-14
52,BD-08 2823,c,Radial Velocity,2,237.6,1.5,-1.5,0,0.68,0.02,-0.02,0,0.19,0.09,-0.09,0,,,,,0.33,0.03,-0.03,0,Msini,,,,,,,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,2.67,-3.06,0,9.88,0.043,0,0,V (Johnson),4746,63,-63,0,0,0.74,0.07,-0.07,0,0,,,,,,2014-05-14
53,BD-10 3166,b,Radial Velocity,1,3.48777,0.00011,-0.00011,0,0.0452,0.0026,-0.0026,0,0.019,0.023,-0.023,0,,,,,0.458,0.039,-0.039,0,Msini,,,,,,,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80,10,-10,0,10.08,,0,0,V (Johnson),5393,,,0,0,1.01,,,,0,,,,,,2014-08-27
54,BD-11 4672,b,Radial Velocity,1,1667,33,-31,0,2.28,0.07,-0.07,0,0.05,0.06,-0.04,0,,,,,0.53,0.05,-0.05,0,Msini,,,,,,,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,,,0,9.99,,0,0,V (Johnson),4475,100,-100,0,0,0.57,0.01,-0.01,0,0,0.52,0.02,-0.02,0,0,2015-01-08
55,BD-13 2130,b,Radial Velocity,1,714.3,5.3,-5.3,0,2.1,,,0,0.21,0.07,-0.07,0,,,,,10.6,,,0,Msini,,,,,,,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766,,,0,9.45,,0,0,V (Johnson),,,,,0,2.4,0.2,-0.2,0,0,,,,,0,2015-05-14
56,BD-17 63,b,Radial Velocity,1,655.6,0.6,-0.6,0,1.34,0.02,-0.02,0,0.54,0.005,-0.005,0,,,,,5.1,0.12,-0.12,0,Msini,,,,,,,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,37.54,1.87,-2.08,0,9.566,0.024,0,0,V (Johnson),4714,93,-93,0,0,0.74,0.03,-0.03,0,0,0.69,,,0,0,2014-05-14
57,CFBDSIR J145829+101343,b,Imaging,1,10037.5,2737.5,-2737.5,0,2.6,0.3,-0.3,0,,,,,,,,,10.5,4.5,-4.5,0,Mass,,,,,,,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,2.4,-2.4,0,,,,,,580.5,24.5,-24.5,0,0,0.02,0.01,-0.01,0,0,,,,,,2014-05-14
58,CHXR 73,b,Imaging,1,,,,,210,,,0,,,,,,,,,12.569,8.379,-5.237,0,Mass,,,,,,,,,0,0,0,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,,,,,,,,,,,,,,,0.35,,,0,0,,,,,,2014-05-14
59,CT Cha,b,Imaging,1,,,,,440,,,0,,,,,,,,,17,6,-6,0,Mass,2.2,0.81,-0.6,0,,,,,0,0,0,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165,30,-30,0,,,,,,,,,,,,,,,,,,,,,2014-05-14
60,CoRoT-1,b,Transit,1,1.5089557,0.0000064,-0.0000064,0,,,,,0,,,0,85.1,0.5,-0.5,0,1.03,0.12,-0.12,0,Mass,1.49,0.08,-0.08,0,0.38,0.05,-0.05,0,0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,,,,,13.6,,0,0,V (Johnson),5950,150,-150,0,0,0.95,0.15,-0.15,0,0,1.11,0.05,-0.05,0,0,2014-05-14
61,CoRoT-10,b,Transit,1,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,0.53,0.04,-0.04,0,88.55,0.2,-0.2,0,2.75,0.16,-0.16,0,Mass,0.97,0.07,-0.07,0,3.7,0.83,-0.83,0,0,0,0,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345,70,-70,0,15.22,0.05,0,0,V (Johnson),5075,75,-75,0,0,0.89,0.05,-0.05,0,0,0.79,0.05,-0.05,0,0,2014-05-14
62,CoRoT-11,b,Transit,1,2.99433,0.000011,-0.000011,0,0.0436,0.005,-0.005,0,0,,,0,83.17,0.15,-0.15,0,2.33,0.34,-0.34,0,Mass,1.43,0.03,-0.03,0,0.99,0.15,-0.15,0,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560,30,-30,0,,,,,,6440,120,-120,0,0,1.27,0.05,-0.05,0,0,1.37,0.03,-0.03,0,0,2014-05-14
63,CoRoT-12,b,Transit,1,2.828042,0.000013,-0.000013,0,0.04016,0.00093,-0.00092,0,0.07,0.063,-0.042,0,85.48,0.72,-0.77,0,0.917,0.07,-0.065,0,Mass,1.44,0.13,-0.13,0,0.411,0.129,-0.094,0,0,0,0,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150,85,-85,0,15.515,0.052,0,0,V (Johnson),5675,80,-80,0,0,1.08,0.08,-0.07,0,0,1.12,0.1,-0.09,0,0,2014-05-14
64,CoRoT-13,b,Transit,1,4.03519,0.00003,-0.00003,0,0.051,0.0031,-0.0031,0,0,,,0,88.02,0.34,-0.36,0,1.308,0.066,-0.066,0,Mass,0.885,0.014,-0.014,0,2.34,0.23,-0.23,0,0,0,0,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060,100,-100,0,15.039,0.041,0,0,V (Johnson),5945,90,-90,0,0,1.09,0.02,-0.02,0,0,1.01,0.03,-0.03,0,0,2014-05-14
65,CoRoT-14,b,Transit,1,1.51214,0.00013,-0.00013,0,0.027,0.002,-0.002,0,0,,,0,79.6,0.8,-0.8,0,7.6,0.6,-0.6,0,Mass,1.09,0.07,-0.07,0,7.3,1.5,-1.5,0,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340,110,-110,0,16.033,0.07,0,0,V (Johnson),6035,100,-100,0,0,1.13,0.09,-0.09,0,0,1.21,0.08,-0.08,0,0,2014-05-14
